YouTube,Notes,Length,ID,Author_English,Title_English,Author_Marathi,Title_Marathi,Acts,Genre,First Performance Year,Submitted By,Males,Females,Pages,Property,Year of Writing,Availability,Certified By,Length (in minutes),Select,Performance Dates,Date,
None,,42,188,Kshitij Patwardhan,35 Nepiency Road,क्षितिज पटवर्धन ,३५ नेपियन्सी रोड,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,101,Dr. Shwtea Pendse,38 Krishna Villa,डॉ. श्वेता पेंडसे,३८ कृष्ण व्हिला,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=CPlmkQKpBVs,,0,95,Sujit Saraf,9 to 5,सुजीत सराफ,9 टू 5,2,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=dFXroN9AgOs(Trailer),English,0,120,Donald Marguiles,Collected Stories ,डोनाल्ड मारग्युल्स,Collected Stories ,2,,2024,,0,0,0,,0,,,0,0,,,
none,,0,152,Pradeep Rane,Eureka Eureka,प्रदीप राणे,Eureka Eureka,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,144,Shafaat Khan,M आणि K,शफाअत खान,M आणि K,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
,,0,126,Hanoji Bala,Some,होनाजी बाळा ,Some,4,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=RdD3hxa82bE (Preview),,0,193,Atul Pethe,Adalay Ka?,अतुल पेठे,अडलंय का?,4,,2024,Mahesh Elkunchwar,0,0,0,,0,,,0,0,,,
None,,0,25,Pu La Deshpande,Adala Hari,पु.ल. देशपांडे,अडला हरी,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
none,,0,139,Rajeev Naik,Other,राजीव नाईक ,अदर,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
none,,0,191,Bernard Brekhat,Another,बेर्नाड ब्रेखत ,अनदर,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,Podcast:  https://www.youtube.com/watch?v=Jfgp9v3z2DU,0,192,Ambar Hadap,Arja Motha Nami,अंबर हडप ,अर्ज मोठा नामी ,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,88,Jaydeep Chipalkatti,Albatross Sandwich,जयदीप चिपलकट्टी,अलबॅट्रॉस सॅंडविच,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=5HZYa1s1OXo,,0,132,Vasant Kanetkar,Ashrunchi Jhali Phule,वसंत कानेटकर,अश्रूंची झाली फुले,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=aAUW0STtQRQ,,0,153,Pradeep Rane,Aham Avam,प्रदीप राणे,अहं अवं,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,94,Sharad Navare,Einstein,शरद नवरे,आईनस्टाईन,2,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=7RRexe9mb4I,Language,0,91,Slawomir Mrozek,Out At Sea,स्लावोमिर म्रोझेक,आऊट ऍट सी,1,,2024,Mukund Marathe,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=WBTCxi1THYQ  https://www.youtube.com/watch?v=kBAyyzzxtOc https://www.youtube.com/watch?v=wzfAcgKEESA,,0,179,Mohan Rakesh,Aadhe Adhuri,मोहन राकेश,आधे अधुरे,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
